wall,uptime,FR_abad_ready,FR_abad_temp,FR_abad_volt,FR_abad_fault,FR_abad_p,FR_abad_v,FR_abad_t,FR_abad_cmdkp,FR_hip_ready,FR_hip_temp,FR_hip_volt,FR_hip_fault,FR_hip_p,FR_hip_v,FR_hip_t,FR_hip_cmdkp,FR_knee_ready,FR_knee_temp,FR_knee_volt,FR_knee_fault,FR_knee_p,FR_knee_v,FR_knee_t,FR_knee_cmdkp,FR_foot_ready,FR_foot_temp,FR_foot_volt,FR_foot_fault,FR_foot_p,FR_foot_v,FR_foot_t,FR_foot_cmdkp,FL_abad_ready,FL_abad_temp,FL_abad_volt,FL_abad_fault,FL_abad_p,FL_abad_v,FL_abad_t,FL_abad_cmdkp,FL_hip_ready,FL_hip_temp,FL_hip_volt,FL_hip_fault,FL_hip_p,FL_hip_v,FL_hip_t,FL_hip_cmdkp,FL_knee_ready,FL_knee_temp,FL_knee_volt,FL_knee_fault,FL_knee_p,FL_knee_v,FL_knee_t,FL_knee_cmdkp,FL_foot_ready,FL_foot_temp,FL_foot_volt,FL_foot_fault,FL_foot_p,FL_foot_v,FL_foot_t,FL_foot_cmdkp,RR_abad_ready,RR_abad_temp,RR_abad_volt,RR_abad_fault,RR_abad_p,RR_abad_v,RR_abad_t,RR_abad_cmdkp,RR_hip_ready,RR_hip_temp,RR_hip_volt,RR_hip_fault,RR_hip_p,RR_hip_v,RR_hip_t,RR_hip_cmdkp,RR_knee_ready,RR_knee_temp,RR_knee_volt,RR_knee_fault,RR_knee_p,RR_knee_v,RR_knee_t,RR_knee_cmdkp,RR_foot_ready,RR_foot_temp,RR_foot_volt,RR_foot_fault,RR_foot_p,RR_foot_v,RR_foot_t,RR_foot_cmdkp,RL_abad_ready,RL_abad_temp,RL_abad_volt,RL_abad_fault,RL_abad_p,RL_abad_v,RL_abad_t,RL_abad_cmdkp,RL_hip_ready,RL_hip_temp,RL_hip_volt,RL_hip_fault,RL_hip_p,RL_hip_v,RL_hip_t,RL_hip_cmdkp,RL_knee_ready,RL_knee_temp,RL_knee_volt,RL_knee_fault,RL_knee_p,RL_knee_v,RL_knee_t,RL_knee_cmdkp,RL_foot_ready,RL_foot_temp,RL_foot_volt,RL_foot_fault,RL_foot_p,RL_foot_v,RL_foot_t,RL_foot_cmdkp
1780717540.804,306.5,1,46,44,,0.98592,-0.02281,-0.0014,0.00,1,46,44,,-1.94495,0.02083,-0.0005,0.00,1,42,44,,0.00286,-0.04662,0.0005,0.00,1,30,44,,3.33925,-0.00305,0.0014,0.00,1,47,44,,-0.97829,-0.00099,0.0014,0.00,1,45,44,,1.94381,0.02083,-0.0005,0.00,1,43,44,,-0.00439,0.04463,-0.0032,0.00,1,31,44,,6.05039,-0.00305,0.0005,0.00,1,46,44,,-0.98707,-0.02281,0.0005,0.00,1,43,44,,-1.96403,-0.00099,-0.0023,0.00,1,44,44,,0.00706,0.02083,-0.0005,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.00099,-0.0032,0.00,1,44,44,,1.95106,0.02083,-0.0005,0.00,1,43,44,,-0.00706,-0.00099,-0.0050,0.00,1,30,44,,0.17720,-0.00305,-0.0005,0.00
1780717540.905,306.6,1,46,44,,0.98592,0.04463,-0.0005,0.00,1,46,44,,-1.94495,0.02083,-0.0014,0.00,1,42,44,,0.00286,-0.06844,0.0005,0.00,1,30,44,,3.33925,-0.00305,0.0005,0.00,1,47,44,,-0.97829,-0.02281,0.0023,0.00,1,45,44,,1.94381,0.11208,-0.0041,0.00,1,43,44,,-0.00439,0.06645,-0.0041,0.00,1,31,44,,6.05039,-0.00305,0.0014,0.00,1,45,44,,-0.98707,-0.00099,-0.0014,0.00,1,43,44,,-1.96403,-0.04662,0.0023,0.00,1,44,44,,0.00706,-0.09026,-0.0032,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.00099,-0.0023,0.00,1,44,44,,1.95106,-0.00099,0.0014,0.00,1,43,44,,-0.00706,0.11208,-0.0014,0.00,1,30,44,,0.17720,-0.00305,0.0005,0.00
1780717541.005,306.7,1,46,44,,0.98592,0.06645,0.0032,0.00,1,46,44,,-1.94495,0.06645,-0.0005,0.00,1,42,44,,0.00286,0.02083,-0.0078,0.00,1,30,44,,3.33925,-0.00305,0.0023,0.00,1,47,44,,-0.97829,0.06645,0.0014,0.00,1,45,44,,1.94381,-0.04662,-0.0014,0.00,1,43,44,,-0.00439,-0.06844,0.0050,0.00,1,31,44,,6.05039,-0.00305,-0.0014,0.00,1,45,44,,-0.98707,0.04463,-0.0023,0.00,1,43,44,,-1.96403,-0.02281,-0.0005,0.00,1,44,44,,0.00706,-0.02281,-0.0023,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.02281,0.0005,0.00,1,44,44,,1.95106,0.08827,-0.0032,0.00,1,43,44,,-0.00706,0.08827,0.0014,0.00,1,30,44,,0.17720,-0.00305,-0.0005,0.00
1780717541.106,306.8,1,46,44,,0.98592,0.02083,-0.0023,0.00,1,46,44,,-1.94495,0.08827,-0.0005,0.00,1,42,44,,0.00286,-0.02281,0.0005,0.00,1,30,44,,3.33925,-0.00305,-0.0005,0.00,1,47,44,,-0.97829,-0.11406,0.0023,0.00,1,45,44,,1.94381,0.06645,-0.0032,0.00,1,43,44,,-0.00439,0.04463,0.0005,0.00,1,31,44,,6.05039,-0.00305,0.0005,0.00,1,45,44,,-0.98707,0.02083,-0.0005,0.00,1,43,44,,-1.96403,0.02083,0.0014,0.00,1,44,44,,0.00706,0.02083,0.0023,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.04662,-0.0041,0.00,1,44,44,,1.95106,-0.04662,-0.0041,0.00,1,43,44,,-0.00706,0.04463,-0.0023,0.00,1,30,44,,0.17720,-0.00305,-0.0023,0.00
1780717541.206,306.9,1,46,44,,0.98592,-0.02281,-0.0023,0.00,1,46,44,,-1.94495,-0.06844,-0.0032,0.00,1,42,44,,0.00286,-0.04662,0.0014,0.00,1,30,44,,3.33925,-0.00305,0.0014,0.00,1,47,44,,-0.97829,0.02083,-0.0014,0.00,1,44,44,,1.94381,-0.06844,-0.0014,0.00,1,43,44,,-0.00439,0.04463,-0.0050,0.00,1,31,44,,6.05039,-0.00305,0.0005,0.00,1,45,44,,-0.98707,-0.02281,-0.0032,0.00,1,43,44,,-1.96403,0.02083,-0.0005,0.00,1,44,44,,0.00706,-0.11406,-0.0060,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,0.04463,-0.0041,0.00,1,44,44,,1.95106,0.02083,0.0032,0.00,1,43,44,,-0.00706,-0.11406,-0.0014,0.00,1,30,44,,0.17720,-0.00305,-0.0014,0.00
1780717541.313,307.0,1,46,44,,0.98630,0.02083,0.0032,0.00,1,46,44,,-1.94495,-0.02281,0.0005,0.00,1,42,44,,0.00286,-0.00099,-0.0069,0.00,1,30,44,,3.33925,-0.00305,0.0005,0.00,1,47,44,,-0.97829,-0.04662,0.0005,0.00,1,44,44,,1.94381,0.04463,0.0032,0.00,1,42,44,,-0.00439,-0.06844,0.0078,0.00,1,31,44,,6.05039,-0.00305,-0.0005,0.00,1,46,44,,-0.98707,-0.09026,0.0005,0.00,1,43,44,,-1.96403,-0.02281,-0.0060,0.00,1,44,44,,0.00706,0.04463,0.0032,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,0.02083,0.0023,0.00,1,44,44,,1.95106,-0.00099,-0.0032,0.00,1,44,44,,-0.00706,0.08827,-0.0005,0.00,1,30,44,,0.17720,-0.00305,-0.0023,0.00
1780717541.413,307.1,1,46,44,,0.98592,0.04463,-0.0032,0.00,1,46,44,,-1.94495,-0.00099,0.0014,0.00,1,42,44,,0.00286,0.04463,0.0023,0.00,1,30,44,,3.33925,-0.00305,0.0014,0.00,1,47,44,,-0.97829,-0.00099,0.0005,0.00,1,44,44,,1.94381,-0.06844,-0.0032,0.00,1,42,44,,-0.00439,-0.09026,0.0050,0.00,1,31,44,,6.05039,-0.00305,-0.0005,0.00,1,46,44,,-0.98707,-0.06844,0.0023,0.00,1,43,44,,-1.96403,-0.00099,0.0041,0.00,1,44,44,,0.00706,-0.04662,-0.0032,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.04662,0.0041,0.00,1,44,44,,1.95106,-0.02281,-0.0023,0.00,1,44,44,,-0.00706,-0.04662,-0.0005,0.00,1,30,44,,0.17720,-0.00305,0.0005,0.00
1780717541.514,307.2,1,46,44,,0.98592,-0.04662,-0.0014,0.00,1,46,44,,-1.94495,-0.02281,-0.0014,0.00,1,42,44,,0.00286,-0.02281,-0.0050,0.00,1,30,44,,3.33925,-0.00305,0.0014,0.00,1,47,44,,-0.97829,0.08827,-0.0032,0.00,1,44,44,,1.94419,0.11208,-0.0023,0.00,1,42,44,,-0.00439,-0.06844,-0.0014,0.00,1,31,44,,6.05039,-0.00305,0.0005,0.00,1,46,44,,-0.98707,-0.00099,-0.0023,0.00,1,43,44,,-1.96403,-0.00099,-0.0069,0.00,1,44,44,,0.00706,-0.00099,-0.0041,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,0.06645,0.0005,0.00,1,44,44,,1.95106,0.04463,-0.0014,0.00,1,44,44,,-0.00706,0.06645,-0.0005,0.00,1,30,44,,0.17720,-0.00305,-0.0005,0.00
1780717541.615,307.4,1,46,44,,0.98592,-0.04662,0.0050,0.00,1,46,44,,-1.94495,0.04463,-0.0041,0.00,1,42,44,,0.00286,-0.04662,-0.0005,0.00,1,30,44,,3.33925,-0.00305,0.0014,0.00,1,47,44,,-0.97829,-0.04662,0.0005,0.00,1,44,44,,1.94381,-0.02281,-0.0005,0.00,1,42,44,,-0.00439,-0.00099,-0.0050,0.00,1,31,44,,6.05039,-0.00305,-0.0005,0.00,1,46,44,,-0.98707,-0.04662,0.0023,0.00,1,43,44,,-1.96403,-0.00099,-0.0050,0.00,1,44,44,,0.00706,-0.00099,-0.0032,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,-0.02281,0.0041,0.00,1,44,44,,1.95106,-0.06844,0.0014,0.00,1,44,44,,-0.00706,0.06645,-0.0023,0.00,1,30,44,,0.17720,-0.00305,-0.0014,0.00
1780717541.715,307.4,1,46,44,,0.98592,0.02083,-0.0014,0.00,1,46,44,,-1.94495,-0.11406,0.0005,0.00,1,42,44,,0.00286,0.02083,-0.0060,0.00,1,30,44,,3.33925,-0.00305,0.0032,0.00,1,47,44,,-0.97829,-0.00099,-0.0005,0.00,1,44,44,,1.94419,-0.00099,-0.0041,0.00,1,42,44,,-0.00439,-0.00099,-0.0041,0.00,1,31,44,,6.05039,-0.00305,-0.0014,0.00,1,46,44,,-0.98707,0.02083,0.0014,0.00,1,43,44,,-1.96403,0.04463,-0.0060,0.00,1,44,44,,0.00706,-0.00099,0.0023,0.00,0,29,44,,5.84745,-0.00305,-0.0005,0.00,1,46,44,,0.98058,0.04463,-0.0041,0.00,1,44,44,,1.95106,-0.06844,-0.0014,0.00,1,44,44,,-0.00706,-0.00099,-0.0023,0.00,1,30,44,,0.17720,-0.00305,-0.0014,0.00
