M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -9.0° pitch +0.0°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 0（乾跑：動作固定基準）　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 47.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 5 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.05   bl3_knee_pitch   -9.0   -0.0    0.00
  0.25      RAMP_UP     31     0.0000     0.10    fl2_hip_pitch   -9.0   -0.0    0.00
  0.50      RAMP_UP     63     0.0000     0.09     bl1_hip_roll   -9.0   +0.0    0.00
  0.76      RAMP_UP     94     0.0004     0.11   br3_knee_pitch   -9.0   -0.0    0.00
  1.01      RAMP_UP    126     0.0004     0.13   fr3_knee_pitch   -9.0   -0.0    0.00
  1.26      RAMP_UP    158     0.0004     0.13   fl3_knee_pitch   -9.0   -0.0    0.00
  1.52      RAMP_UP    189     0.0004     0.14   br3_knee_pitch   -9.0   -0.0    0.00
  1.77      RAMP_UP    221     0.0004     0.18     fl1_hip_roll   -9.0   -0.0    0.00

  ▸ RAMP_UP 結束（時間到），進入 GO_crouch

  2.02    GO_crouch    250     0.0003     0.18     fr1_hip_roll   -9.0   -0.0    0.00
  2.28    GO_crouch    250     0.0409     8.52     fl1_hip_roll   -8.8   -0.0    0.05
  2.53    GO_crouch    250     0.1022    24.66   br3_knee_pitch   -7.1   -0.3    0.62
  2.78    GO_crouch    250     0.1048    23.32   br3_knee_pitch   -4.2   -0.7    1.35
  3.03    GO_crouch    250     0.1096    25.25   fr3_knee_pitch   -1.7   -1.1    1.25
  3.28    GO_crouch    250     0.1026    24.26   fr3_knee_pitch   -0.1   -1.3    0.79

  ▸ GO_crouch 結束（時間到），進入 HOLD_crouch

  3.54  HOLD_crouch    250     0.0931    23.18   bl3_knee_pitch   +0.4   -1.4    0.15
  3.79  HOLD_crouch    250     0.0931    23.29   bl3_knee_pitch   +0.4   -1.4    0.01
  4.04  HOLD_crouch    250     0.0927    23.34   bl3_knee_pitch   +0.4   -1.4    0.00
  4.30  HOLD_crouch    250     0.0927    23.37   bl3_knee_pitch   +0.5   -1.4    0.00
  4.55  HOLD_crouch    250     0.0927    23.22   bl3_knee_pitch   +0.5   -1.4    0.00
  4.81  HOLD_crouch    250     0.0927    23.33   bl3_knee_pitch   +0.5   -1.4    0.00

  ▸ HOLD_crouch 結束（時間到），進入 GO_stand

  5.06     GO_stand    250     0.0962    23.97   bl3_knee_pitch   +0.5   -1.4    0.00
  5.32     GO_stand    250     0.1148    24.64   fr3_knee_pitch   +0.6   -1.4    0.42
  5.57     GO_stand    250     0.1187    23.98   bl3_knee_pitch   +0.5   -1.5    0.43
  5.82     GO_stand    250     0.1131    22.62   bl3_knee_pitch   +0.6   -1.5    0.29
  6.07     GO_stand    250     0.1003    20.22   fr3_knee_pitch   +0.6   -1.6    0.14
  6.33     GO_stand    250     0.0809    17.82   bl3_knee_pitch   +0.6   -1.7    0.18

  ▸ GO_stand 結束（時間到），進入 READY

  6.58        READY    250     0.0672    16.95   fr3_knee_pitch   +0.6   -1.6    0.04
  6.83        READY    250     0.0672    16.92   fr3_knee_pitch   +0.6   -1.6    0.00
  7.08        READY    250     0.0672    16.90   fr3_knee_pitch   +0.6   -1.6    0.00
  7.33        READY    250     0.0672    16.93   fr3_knee_pitch   +0.7   -1.6    0.00
  7.59        READY    250     0.0672    16.96   fr3_knee_pitch   +0.7   -1.6    0.00
  7.84        READY    250     0.0672    16.93   fr3_knee_pitch   +0.7   -1.6    0.00
  8.09        READY    250     0.0672    16.90   fr3_knee_pitch   +0.7   -1.6    0.00
  8.34        READY    250     0.0672    16.87   fr3_knee_pitch   +0.7   -1.6    0.00
  8.59        READY    250     0.0668    16.83   fr3_knee_pitch   +0.7   -1.6    0.00
  8.84        READY    250     0.0668    16.93   fr3_knee_pitch   +0.7   -1.6    0.00
  9.09        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
  9.35        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
  9.60        READY    250     0.0668    16.81   fr3_knee_pitch   +0.7   -1.6    0.00
  9.85        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
 10.11        READY    250     0.0668    16.86   fr3_knee_pitch   +0.7   -1.6    0.00
 10.36        READY    250     0.0668    16.78   fr3_knee_pitch   +0.7   -1.6    0.00
 10.61        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
 10.86        READY    250     0.0668    16.79   fr3_knee_pitch   +0.7   -1.6    0.07
 11.11        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.03
 11.37        READY    250     0.0668    16.82   fr3_knee_pitch   +0.7   -1.6    0.00
 11.62        READY    250     0.0668    16.76   fr3_knee_pitch   +0.7   -1.6    0.00
 11.87        READY    250     0.0668    16.76   fr3_knee_pitch   +0.7   -1.6    0.00
 12.13        READY    250     0.0668    16.80   fr3_knee_pitch   +0.7   -1.6    0.00
 12.38        READY    250     0.0668    16.83   fr3_knee_pitch   +0.7   -1.6    0.00
 12.63        READY    250     0.0668    16.79   fr3_knee_pitch   +0.7   -1.6    0.00
 12.89        READY    250     0.0668    16.82   fr3_knee_pitch   +0.7   -1.6    0.00
 13.14        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
 13.39        READY    250     0.0668    16.76   fr3_knee_pitch   +0.7   -1.6    0.00
 13.65        READY    250     0.0668    16.86   fr3_knee_pitch   +0.7   -1.6    0.00
 13.90        READY    250     0.0668    16.77   fr3_knee_pitch   +0.7   -1.6    0.00
 14.15        READY    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00

  ▸ READY 結束（按下 Enter），進入 KP_DOWN

 14.40      KP_DOWN    250     0.0668    16.84   fr3_knee_pitch   +0.7   -1.6    0.00
 14.65      KP_DOWN    250     0.0668    16.81   fr3_knee_pitch   +0.7   -1.6    0.00
