M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2411 狀態=S
✅ 機身姿態 roll -5.3° pitch +2.2°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.09    bl2_hip_pitch   -5.3   +2.2    0.00
  0.25      RAMP_UP     31     0.0000     0.09    fr2_hip_pitch   -5.3   +2.2    0.00
  0.50      RAMP_UP     63     0.0000     0.13    fr2_hip_pitch   -5.3   +2.2    0.00
  0.75      RAMP_UP     94     0.0000     0.09    bl2_hip_pitch   -5.3   +2.2    0.00
  1.01      RAMP_UP    126     0.0000     0.08     fr1_hip_roll   -5.3   +2.2    0.00
  1.26      RAMP_UP    158     0.0000     0.08    bl2_hip_pitch   -5.3   +2.2    0.00
  1.51      RAMP_UP    189     0.0000     0.10    bl2_hip_pitch   -5.3   +2.2    0.00
  1.77      RAMP_UP    221     0.0000     0.12   fr3_knee_pitch   -5.3   +2.2    0.00

  ▸ RAMP_UP 結束（時間到），進入 GO_crouch

  2.02    GO_crouch    250     0.0001     0.22   bl3_knee_pitch   -5.3   +2.2    0.00
  2.27    GO_crouch    250     0.0345     7.25   fr3_knee_pitch   -5.1   +2.2    0.09
  2.52    GO_crouch    250     0.1001    24.29   br3_knee_pitch   -4.0   +1.6    0.85
  2.77    GO_crouch    250     0.1145    25.49   br3_knee_pitch   -2.2   +1.0    1.67
  3.03    GO_crouch    250     0.1154    26.24   br3_knee_pitch   -0.7   +0.1    1.86
  3.28    GO_crouch    250     0.1021    24.56   fr3_knee_pitch   +0.2   -0.5    1.38

  ▸ GO_crouch 結束（時間到），進入 HOLD_crouch

  3.53  HOLD_crouch    250     0.0908    22.76   fr3_knee_pitch   +0.7   -0.9    0.16
  3.78  HOLD_crouch    250     0.0908    22.82   fr3_knee_pitch   +0.7   -0.9    0.00
  4.03  HOLD_crouch    250     0.0908    22.75   fr3_knee_pitch   +0.7   -0.9    0.04
  4.29  HOLD_crouch    250     0.0908    22.76   fr3_knee_pitch   +0.7   -0.9    0.00
  4.54  HOLD_crouch    250     0.0908    22.75   fr3_knee_pitch   +0.7   -0.9    0.00
  4.79  HOLD_crouch    250     0.0908    22.78   fr3_knee_pitch   +0.8   -0.9    0.00

  ▸ HOLD_crouch 結束（時間到），進入 GO_stand

  5.05     GO_stand    250     0.0928    23.25   fr3_knee_pitch   +0.8   -0.9    0.00
  5.30     GO_stand    250     0.1108    24.28   fr3_knee_pitch   +0.9   -1.0    0.50
  5.55     GO_stand    250     0.1187    22.63   fr3_knee_pitch   +0.9   -1.1    0.54
  5.81     GO_stand    250     0.1106    21.38   fr3_knee_pitch   +0.8   -1.2    0.53
  6.06     GO_stand    250     0.0971    19.50   bl3_knee_pitch   +0.8   -1.3    0.21
  6.31     GO_stand    250     0.0799    17.22   bl3_knee_pitch   +0.7   -1.3    0.15

  ▸ GO_stand 結束（時間到），進入 READY

  6.56        READY    250     0.0640    16.07   bl3_knee_pitch   +0.6   -1.3    0.14
  6.82        READY    250     0.0636    15.96   bl3_knee_pitch   +0.7   -1.4    0.08
  7.07        READY    250     0.0636    15.88   bl3_knee_pitch   +0.7   -1.4    0.07
  7.32        READY    250     0.0636    15.91   bl3_knee_pitch   +0.7   -1.4    0.32
  7.57        READY    250     0.0636    15.98   bl3_knee_pitch   +0.7   -1.4    0.00
  7.82        READY    250     0.0636    15.84   bl3_knee_pitch   +0.7   -1.4    0.00
  8.07        READY    250     0.0636    16.04   bl3_knee_pitch   +0.7   -1.4    0.03
  8.32        READY    250     0.0636    16.03   bl3_knee_pitch   +0.7   -1.4    0.00
  8.58        READY    250     0.0636    15.98   bl3_knee_pitch   +0.7   -1.4    0.00
  8.83        READY    250     0.0636    15.98   bl3_knee_pitch   +0.7   -1.4    0.00
  9.08        READY    250     0.0636    15.98   bl3_knee_pitch   +0.7   -1.4    0.00
  9.33        READY    250     0.0636    15.98   bl3_knee_pitch   +0.7   -1.4    0.00
  9.59        READY    250     0.0636    16.03   bl3_knee_pitch   +0.7   -1.4    0.04
  9.84        READY    250     0.0632    15.90   bl3_knee_pitch   +0.6   -1.4    0.04
 10.09        READY    250     0.0632    15.88   bl3_knee_pitch   +0.6   -1.4    0.03
 10.34        READY    250     0.0632    15.96   bl3_knee_pitch   +0.6   -1.4    0.00
 10.60        READY    250     0.0632    15.92   bl3_knee_pitch   +0.6   -1.4    0.00
