M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2434 狀態=S
✅ 機身姿態 roll -1.1° pitch -0.4°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.16 ms/步（預算 10 ms）

互動模式　最壞情況 110.0 秒：
  站起來 6.5 ＋ 等①15 ＋ 降增益 1.5 ＋ 淡入 2.0 ＋ 走 60 ＋ 淡出 2.0 ＋ 升增益 1.5 ＋ 等③15 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 120 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms
🎮 遙控：READY 按 Enter → 站好等鍵；**按住 W 走、放開站好、空白鍵急停**；站好時 Enter 收工

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.07   br3_knee_pitch   -1.1   -0.4    0.00
  0.25      RAMP_UP     31     0.0000     0.08    br2_hip_pitch   -1.1   -0.4    0.00
  0.51      RAMP_UP     63     0.0000     0.09   fl3_knee_pitch   -1.1   -0.4    0.00
  0.76      RAMP_UP     94     0.0000     0.08   fl3_knee_pitch   -1.1   -0.4    0.00
  1.01      RAMP_UP    126     0.0000     0.08    bl2_hip_pitch   -1.1   -0.4    0.00
  1.26      RAMP_UP    158     0.0000     0.13   fl3_knee_pitch   -1.1   -0.4    0.00
  1.52      RAMP_UP    189     0.0000     0.13    br2_hip_pitch   -1.1   -0.4    0.00
  1.77      RAMP_UP    221     0.0000     0.13    fr2_hip_pitch   -1.1   -0.4    0.00

  ▸ RAMP_UP 結束（時間到），進入 GO_crouch

  2.02    GO_crouch    250     0.0002     0.22     bl1_hip_roll   -1.1   -0.4    0.00
  2.27    GO_crouch    250     0.0363     8.35     fl1_hip_roll   -1.1   -0.4    0.04
  2.53    GO_crouch    250     0.1028    24.72   br3_knee_pitch   -0.7   -0.7    0.61
  2.78    GO_crouch    250     0.0992    22.98     fr1_hip_roll   -0.1   -1.0    1.27
  3.04    GO_crouch    250     0.1081    25.16     fr1_hip_roll   +0.4   -1.2    1.14
  3.29    GO_crouch    250     0.1009    24.09   fr3_knee_pitch   +0.9   -1.4    0.78

  ▸ GO_crouch 結束（時間到），進入 HOLD_crouch

  3.54  HOLD_crouch    250     0.0911    22.65   br3_knee_pitch   +1.1   -1.4    0.46
  3.79  HOLD_crouch    250     0.0911    22.72   br3_knee_pitch   +1.1   -1.4    0.00
  4.05  HOLD_crouch    250     0.0911    22.70   br3_knee_pitch   +1.1   -1.4    0.00
  4.30  HOLD_crouch    250     0.0911    22.73   br3_knee_pitch   +1.1   -1.4    0.00
  4.55  HOLD_crouch    250     0.0911    22.67   br3_knee_pitch   +1.1   -1.4    0.00
  4.81  HOLD_crouch    250     0.0911    22.68   br3_knee_pitch   +1.1   -1.4    0.01

  ▸ HOLD_crouch 結束（時間到），進入 GO_stand

  5.06     GO_stand    250     0.0947    23.34   fr3_knee_pitch   +1.1   -1.4    0.00
  5.31     GO_stand    250     0.1119    23.97   fr3_knee_pitch   +1.0   -1.4    0.44
  5.56     GO_stand    250     0.1192    23.54   br3_knee_pitch   +1.1   -1.5    0.45
  5.82     GO_stand    250     0.1111    21.39   fr3_knee_pitch   +1.2   -1.6    0.47
  6.07     GO_stand    250     0.0973    19.29   fr3_knee_pitch   +1.1   -1.6    0.20
  6.32     GO_stand    250     0.0792    16.88   fr3_knee_pitch   +1.0   -1.6    0.05

  ▸ GO_stand 結束（時間到），進入 READY

  6.58        READY    250     0.0660    17.33   br3_knee_pitch   +1.0   -1.6    0.15
  6.83        READY    250     0.0660    16.64   fr3_knee_pitch   +1.0   -1.5    0.03
  7.08        READY    250     0.0660    16.63   fr3_knee_pitch   +1.0   -1.5    0.03
  7.34        READY    250     0.0641    16.01   fr3_knee_pitch   +1.0   -1.6    0.03
  7.59        READY    250     0.0618    15.58   fr3_knee_pitch   +1.0   -1.6    0.00
  7.84        READY    250     0.0617    15.42   fr3_knee_pitch   +1.0   -1.6    0.00
  8.09        READY    250     0.0617    15.39   fr3_knee_pitch   +1.0   -1.6    0.00
  8.35        READY    250     0.0617    15.40   fr3_knee_pitch   +1.0   -1.6    0.00
  8.60        READY    250     0.0617    15.38   fr3_knee_pitch   +1.0   -1.6    0.00
  8.85        READY    250     0.0617    15.34   br3_knee_pitch   +1.0   -1.6    0.00
  9.10        READY    250     0.0617    15.37   fr3_knee_pitch   +1.0   -1.6    0.01
  9.35        READY    250     0.0626    15.52   fl3_knee_pitch   +0.9   -1.7    0.00
  9.60        READY    250     0.0626    15.58   fl3_knee_pitch   +0.9   -1.7    0.00
  9.85        READY    250     0.0626    15.58   fl3_knee_pitch   +0.9   -1.7    0.00
