M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=3

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2403 狀態=S
✅ 機身姿態 roll +5.9° pitch -2.6°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 30.4 秒　22 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → PRE_bl(1.2) → PREHOLD_bl(1.5) → LIFT_bl_80(1.0) → SWING_bl_80(1.5) → DROP_bl_80(1.0) → LIFT_bl_150(1.0) → SWING_bl_150(1.5) → DROP_bl_150(1.0) → LIFT_bl_220(1.0) → SWING_bl_220(1.5) → DROP_bl_220(1.0) → POST_bl(1.2) → SETTLE_bl(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 30.4s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.608 rad        0.64 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
        PRE_bl    0.421 rad        0.55 rad/s   bl3_knee_pitch
    LIFT_bl_80    0.523 rad        0.82 rad/s   bl3_knee_pitch
    DROP_bl_80    0.523 rad        0.82 rad/s   bl3_knee_pitch
   LIFT_bl_150    0.844 rad        1.33 rad/s   bl3_knee_pitch
   DROP_bl_150    0.844 rad        1.33 rad/s   bl3_knee_pitch
   LIFT_bl_220    1.099 rad        1.73 rad/s   bl3_knee_pitch
   DROP_bl_220    1.099 rad        1.73 rad/s   bl3_knee_pitch
       POST_bl    0.421 rad        0.55 rad/s   bl3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.608 rad        0.64 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +5.9 pitch -2.6）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

★ S3 會抬 ['bl']，指令高度掃 ['80', '150', '220'] mm，抬腿前機身先移 x+30 y+140 mm
  ⚠️ MuJoCo 預測（kp=250、鎖輪、shift(30,100)）：
     指令  80 → 實際  13 mm　　指令 150 → 實際 ~82 mm
     指令 120 → 實際  52 mm　　指令 220 → 實際 ~150 mm
     **損失約 68 mm 且與指令高度無關** —— 是 `STATIC_SAG=32.5` 的兩倍多。
     若實機也是這樣，CPG 基準的 g_c=0.08 在實機上腿幾乎不會離地。

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
  0.00        RAMP_UP      0     0.0000     0.09     fr1_hip_roll   +5.9   -2.6
  0.25        RAMP_UP     31     0.0000     0.14    fl2_hip_pitch   +5.9   -2.6
  0.51        RAMP_UP     63     0.0000     0.08     fr1_hip_roll   +5.9   -2.6
  0.76        RAMP_UP     95     0.0000     0.08    fr2_hip_pitch   +5.9   -2.6
  1.02        RAMP_UP    127     0.0004     0.12    fr2_hip_pitch   +5.9   -2.6
  1.27        RAMP_UP    158     0.0004     0.08     fl1_hip_roll   +5.9   -2.6
  1.52        RAMP_UP    190     0.0004     0.16     fl1_hip_roll   +5.9   -2.6
  1.77        RAMP_UP    221     0.0004     0.16     fl1_hip_roll   +5.9   -2.6
  2.03      GO_crouch    250     0.0005     0.25     fl1_hip_roll   +5.9   -2.6
  2.28      GO_crouch    250     0.0395     8.74    br2_hip_pitch   +5.6   -2.7
  2.54      GO_crouch    250     0.0611    15.04   bl3_knee_pitch   +4.8   -2.5
  2.79      GO_crouch    250     0.1043    25.06   bl3_knee_pitch   +3.5   -2.4
  3.04      GO_crouch    250     0.1059    26.00   fr3_knee_pitch   +2.4   -1.7
  3.30      GO_crouch    250     0.0977    24.45   fr3_knee_pitch   +1.5   -1.3
  3.55    HOLD_crouch    250     0.0919    23.00   bl3_knee_pitch   +0.9   -1.3
  3.80    HOLD_crouch    250     0.0919    22.99   bl3_knee_pitch   +0.9   -1.4
  4.05    HOLD_crouch    250     0.0919    23.01   bl3_knee_pitch   +0.9   -1.4
  4.31    HOLD_crouch    250     0.0919    23.02   bl3_knee_pitch   +0.9   -1.4
  4.56    HOLD_crouch    250     0.0919    22.96   bl3_knee_pitch   +0.8   -1.4
  4.81    HOLD_crouch    250     0.0919    22.91   bl3_knee_pitch   +0.8   -1.4
  5.06       GO_stand    250     0.0963    23.75   bl3_knee_pitch   +0.8   -1.3
  5.32       GO_stand    250     0.1149    23.97   br3_knee_pitch   +0.9   -1.2
  5.57       GO_stand    250     0.1208    23.12   fr3_knee_pitch   +0.8   -1.2
  5.82       GO_stand    250     0.1105    19.83   bl3_knee_pitch   +0.9   -1.2
  6.08       GO_stand    250     0.0938    17.06   fr3_knee_pitch   +0.9   -1.3
  6.33       GO_stand    250     0.0718    14.63   fr3_knee_pitch   +0.9   -1.2
  6.58     HOLD_stand    250     0.0613    15.45   fr3_knee_pitch   +1.0   -1.2
  6.83     HOLD_stand    250     0.0609    15.30   fr3_knee_pitch   +1.0   -1.2
  7.09     HOLD_stand    250     0.0609    15.29   fr3_knee_pitch   +1.0   -1.2
  7.34     HOLD_stand    250     0.0609    15.32   fr3_knee_pitch   +1.0   -1.2
  7.59     HOLD_stand    250     0.0609    15.31   fr3_knee_pitch   +1.0   -1.2
  7.84     HOLD_stand    250     0.0609    15.29   fr3_knee_pitch   +1.0   -1.2
  8.09     HOLD_stand    250     0.0609    15.29   fr3_knee_pitch   +1.0   -1.2
  8.35     HOLD_stand    250     0.0609    15.33   fr3_knee_pitch   +0.9   -1.2
  8.60         PRE_bl    250     0.0597    15.00   fr3_knee_pitch   +0.9   -1.2
  8.85         PRE_bl    250     0.0717    14.64   fl3_knee_pitch   -0.0   -1.3
