M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_run1.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2435 狀態=S
✅ 機身姿態 roll -6.9° pitch -0.4°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.3 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 2.93 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.08    fl2_hip_pitch   -6.9   -0.4    0.00
  0.25      RAMP_UP     31     0.0000     0.09     bl1_hip_roll   -6.9   -0.4    0.00
  0.51      RAMP_UP     63     0.0000     0.09     br1_hip_roll   -6.9   -0.4    0.00
  0.76      RAMP_UP     94     0.0000     0.09    br2_hip_pitch   -6.9   -0.4    0.00
  1.01      RAMP_UP    126     0.0000     0.10     fl1_hip_roll   -6.9   -0.4    0.00
  1.27      RAMP_UP    158     0.0000     0.09    bl2_hip_pitch   -6.9   -0.4    0.00
  1.52      RAMP_UP    189     0.0000     0.13     bl1_hip_roll   -6.9   -0.4    0.00
  1.77      RAMP_UP    221     0.0000     0.11    bl2_hip_pitch   -6.9   -0.4    0.00
  2.03    GO_crouch    250     0.0003     0.19     br1_hip_roll   -6.9   -0.4    0.00
  2.28    GO_crouch    250     0.0306     7.29   bl3_knee_pitch   -6.9   -0.4    0.05
  2.53    GO_crouch    250     0.0963    22.91   bl3_knee_pitch   -6.0   -0.5    0.70
  2.79    GO_crouch    250     0.1138    26.05   fr3_knee_pitch   -3.8   -0.7    1.30
  3.04    GO_crouch    250     0.1122    25.94   bl3_knee_pitch   -2.2   -0.9    1.68
  3.29    GO_crouch    250     0.1038    24.56   fr3_knee_pitch   -0.7   -0.9    1.65
  3.54  HOLD_crouch    250     0.0938    23.43   bl3_knee_pitch   -0.4   -1.0    0.46
  3.80  HOLD_crouch    250     0.0873    21.84   bl3_knee_pitch   +0.0   -1.1    0.29
  4.05  HOLD_crouch    250     0.0866    21.73   bl3_knee_pitch   -0.0   -1.1    0.00
  4.30  HOLD_crouch    250     0.0866    21.70   bl3_knee_pitch   -0.0   -1.1    0.00
  4.55  HOLD_crouch    250     0.0866    21.76   bl3_knee_pitch   -0.0   -1.1    0.00
  4.80  HOLD_crouch    250     0.0866    21.62   bl3_knee_pitch   -0.0   -1.1    0.00
  5.06     GO_stand    250     0.0896    22.36   bl3_knee_pitch   -0.0   -1.1    0.00
  5.31     GO_stand    250     0.1113    24.26   fr3_knee_pitch   +0.1   -1.0    0.69
  5.56     GO_stand    250     0.1179    23.88   bl3_knee_pitch   -0.1   -1.0    0.52
  5.81     GO_stand    250     0.1121    22.08   fr3_knee_pitch   -0.0   -0.9    0.19
  6.07     GO_stand    250     0.1008    20.18   bl3_knee_pitch   +0.0   -0.9    0.23
  6.32     GO_stand    250     0.0813    17.85   fr3_knee_pitch   +0.2   -0.8    0.20
  6.57   HOLD_stand    250     0.0680    17.12   fr3_knee_pitch   +0.2   -0.9    0.31
  6.82   HOLD_stand    250     0.0680    17.04   fr3_knee_pitch   +0.2   -0.9    0.00
  7.07   HOLD_stand    250     0.0680    17.12   fr3_knee_pitch   +0.2   -0.9    0.00
  7.33   HOLD_stand    250     0.0680    17.10   fr3_knee_pitch   +0.2   -0.9    0.00
  7.58   HOLD_stand    250     0.0680    17.08   fr3_knee_pitch   +0.2   -0.9    0.04
  7.84   HOLD_stand    250     0.0680    17.01   fr3_knee_pitch   +0.2   -0.9    0.03
