M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_w0.4.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2435 狀態=S
✅ 機身姿態 roll -4.8° pitch -1.9°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.4 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 3.88 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.08   fr3_knee_pitch   -4.8   -1.9    0.00
  0.25      RAMP_UP     31     0.0000     0.08   fl3_knee_pitch   -4.8   -1.9    0.00
  0.50      RAMP_UP     63     0.0000     0.06    fr2_hip_pitch   -4.8   -1.9    0.00
  0.76      RAMP_UP     94     0.0000     0.10    bl2_hip_pitch   -4.8   -1.9    0.00
  1.01      RAMP_UP    126     0.0000     0.13    bl2_hip_pitch   -4.8   -1.9    0.00
  1.26      RAMP_UP    158     0.0000     0.12   bl3_knee_pitch   -4.8   -1.9    0.00
  1.52      RAMP_UP    189     0.0000     0.10   br3_knee_pitch   -4.8   -1.9    0.00
  1.77      RAMP_UP    221     0.0000     0.13   br3_knee_pitch   -4.8   -1.9    0.00
  2.02    GO_crouch    250     0.0003     0.19   bl3_knee_pitch   -4.8   -1.9    0.00
  2.27    GO_crouch    250     0.0368     8.16    fl2_hip_pitch   -4.7   -1.9    0.25
  2.53    GO_crouch    250     0.0947    22.79   br3_knee_pitch   -3.8   -1.9    1.20
  2.78    GO_crouch    250     0.1268    29.04   br3_knee_pitch   -1.9   -1.2    2.12
  3.03    GO_crouch    250     0.1156    26.43   br3_knee_pitch   -1.2   -0.6    1.71
  3.28    GO_crouch    250     0.1070    25.42   br3_knee_pitch   -0.6   -0.3    1.26
  3.53  HOLD_crouch    250     0.0919    22.90   br3_knee_pitch   -0.4   -0.3    0.36
  3.79  HOLD_crouch    250     0.0919    22.77   br3_knee_pitch   -0.3   -0.3    0.01
  4.04  HOLD_crouch    250     0.0919    22.84   br3_knee_pitch   -0.3   -0.3    0.00
  4.30  HOLD_crouch    250     0.0919    22.86   br3_knee_pitch   -0.3   -0.3    0.00
  4.55  HOLD_crouch    250     0.0919    22.88   br3_knee_pitch   -0.3   -0.3    0.00
  4.80  HOLD_crouch    250     0.0919    22.88   br3_knee_pitch   -0.3   -0.3    0.03
  5.06     GO_stand    250     0.0949    23.57   br3_knee_pitch   -0.2   -0.3    0.00
  5.31     GO_stand    250     0.1128    23.76   fl3_knee_pitch   -0.1   -0.2    0.39
  5.56     GO_stand    250     0.1196    24.12   fl3_knee_pitch   -0.0   -0.2    0.46
  5.81     GO_stand    250     0.1114    21.51   fl3_knee_pitch   +0.0   -0.2    0.14
  6.07     GO_stand    250     0.1003    20.08   fl3_knee_pitch   -0.0   -0.2    0.28
  6.32     GO_stand    250     0.0817    17.78   fl3_knee_pitch   +0.1   -0.2    0.16
  6.57   HOLD_stand    250     0.0676    16.79   fl3_knee_pitch   +0.1   -0.3    0.02
  6.82   HOLD_stand    250     0.0676    16.78   fl3_knee_pitch   +0.1   -0.3    0.00
  7.07   HOLD_stand    250     0.0676    16.81   fl3_knee_pitch   +0.1   -0.3    0.00
  7.32   HOLD_stand    250     0.0676    16.78   fl3_knee_pitch   +0.1   -0.3    0.00
  7.58   HOLD_stand    250     0.0676    16.82   fl3_knee_pitch   +0.1   -0.2    0.00
  7.83   HOLD_stand    250     0.0676    16.80   fl3_knee_pitch   +0.1   -0.2    0.00
