M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 march_w0.45.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2401 狀態=S
✅ 機身姿態 roll -3.0° pitch -1.7°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：原地踏步　duty 0.8 ω 0.45 d_step 0.0 x_off 0.04 g_c 0.08 z_sag 0.0360

總時長 31.0 秒 = 站起來 8.5 + 步態 16.0 + 坐回去 6.5
✅ 在承重上限 60 秒之內

步態最大命令速度 4.35 rad/s（br3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：腿 kp 250.0 kd 5.0　輪 **kp 0** kd 0.5（純阻尼，全程不鎖）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.09   br3_knee_pitch   -3.0   -1.7    0.00
  0.25      RAMP_UP     31     0.0004     0.08     bl1_hip_roll   -3.0   -1.7    0.00
  0.50      RAMP_UP     63     0.0000     0.13    fr2_hip_pitch   -3.0   -1.7    0.00
  0.76      RAMP_UP     94     0.0000     0.09     bl1_hip_roll   -3.0   -1.7    0.00
  1.01      RAMP_UP    126     0.0000     0.09   fl3_knee_pitch   -3.0   -1.7    0.00
  1.26      RAMP_UP    158     0.0000     0.11     br1_hip_roll   -3.0   -1.7    0.00
  1.51      RAMP_UP    189     0.0000     0.13     br1_hip_roll   -3.0   -1.7    0.00
  1.77      RAMP_UP    221     0.0000     0.15     br1_hip_roll   -3.0   -1.7    0.00
  2.02    GO_crouch    250     0.0001     0.19   fr3_knee_pitch   -3.0   -1.7    0.00
  2.27    GO_crouch    250     0.0290     7.02    br2_hip_pitch   -3.0   -1.7    0.05
  2.52    GO_crouch    250     0.0937    22.40   fl3_knee_pitch   -2.8   -1.6    0.77
  2.78    GO_crouch    250     0.1154    26.05   fr3_knee_pitch   -1.6   -1.5    1.75
  3.03    GO_crouch    250     0.1138    27.05   fr3_knee_pitch   -0.8   -1.3    1.80
  3.28    GO_crouch    250     0.1048    24.95   fr3_knee_pitch   -0.2   -1.2    1.50
  3.54  HOLD_crouch    250     0.0915    22.87   bl3_knee_pitch   +0.2   -1.3    0.30
  3.79  HOLD_crouch    250     0.0911    22.81   fr3_knee_pitch   +0.2   -1.2    0.03
  4.04  HOLD_crouch    250     0.0911    22.85   fr3_knee_pitch   +0.2   -1.2    0.00
  4.29  HOLD_crouch    250     0.0908    22.83   fr3_knee_pitch   +0.2   -1.2    0.03
  4.54  HOLD_crouch    250     0.0908    22.83   fr3_knee_pitch   +0.2   -1.2    0.00
  4.79  HOLD_crouch    250     0.0908    22.79   fr3_knee_pitch   +0.3   -1.2    0.00
  5.05     GO_stand    250     0.0928    23.18   fr3_knee_pitch   +0.3   -1.2    0.00
  5.30     GO_stand    250     0.1145    25.33   fr3_knee_pitch   +0.4   -1.2    0.27
  5.55     GO_stand    250     0.1183    24.58   fr3_knee_pitch   +0.3   -1.1    0.49
  5.80     GO_stand    250     0.1128    21.74   fr3_knee_pitch   +0.5   -1.0    0.46
  6.06     GO_stand    250     0.0977    19.60   fr3_knee_pitch   +0.5   -0.9    0.06
  6.31     GO_stand    250     0.0825    17.67   fr3_knee_pitch   +0.5   -0.8    0.21
  6.56   HOLD_stand    250     0.0665    16.75   fr3_knee_pitch   +0.5   -1.0    0.13
  6.82   HOLD_stand    250     0.0661    16.70   fr3_knee_pitch   +0.5   -0.9    0.04
  7.07   HOLD_stand    250     0.0661    16.67   fr3_knee_pitch   +0.5   -0.9    0.04
  7.32   HOLD_stand    250     0.0661    16.65   fr3_knee_pitch   +0.5   -0.9    0.01
  7.58   HOLD_stand    250     0.0661    16.61   fr3_knee_pitch   +0.5   -0.9    0.00
  7.83   HOLD_stand    250     0.0661    16.64   fr3_knee_pitch   +0.5   -0.9    0.00
  8.08   HOLD_stand    250     0.0661    16.68   fr3_knee_pitch   +0.5   -0.9    0.00
  8.33   HOLD_stand    250     0.0661    16.68   fr3_knee_pitch   +0.5   -0.9    0.00
  8.58         GAIT    250     0.0661    16.73   fr3_knee_pitch   +0.5   -0.9    0.00
  8.84         GAIT    250     0.0667    16.76   fr3_knee_pitch   +0.5   -0.9    0.03
  9.09         GAIT    250     0.0662    16.44   fl3_knee_pitch   +0.5   -0.9    0.00
  9.34         GAIT    250     0.0730    18.07   fl3_knee_pitch   +1.3   -0.3    0.21
