M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2428 狀態=T
✅ 機身姿態 roll -4.4° pitch -8.1°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.06   bl3_knee_pitch   -4.4   -8.1    0.00
  0.25      RAMP_UP     31     0.0000     0.08   fl3_knee_pitch   -4.4   -8.1    0.00
  0.50      RAMP_UP     63     0.0008     0.09    fr2_hip_pitch   -4.4   -8.1    0.00
  0.76      RAMP_UP     94     0.0008     0.11     fr1_hip_roll   -4.4   -8.1    0.00
  1.01      RAMP_UP    126     0.0008     0.17    bl2_hip_pitch   -4.4   -8.1    0.00
  1.27      RAMP_UP    158     0.0072     0.80    bl2_hip_pitch   -4.4   -8.0    0.14
  1.52      RAMP_UP    189     0.0057     1.05   fl3_knee_pitch   -4.3   -8.1    0.00
  1.77      RAMP_UP    221     0.0057     1.19   fl3_knee_pitch   -4.3   -8.1    0.00

  ▸ RAMP_UP 結束（時間到），進入 GO_crouch

  2.03    GO_crouch    250     0.0060     1.40   fl3_knee_pitch   -4.4   -8.1    0.00
  2.28    GO_crouch    250     0.0450    10.15     bl1_hip_roll   -4.3   -8.0    0.10
  2.53    GO_crouch    250     0.0986    23.13   fl3_knee_pitch   -3.4   -7.0    0.75
  2.78    GO_crouch    250     0.1235    27.59     bl1_hip_roll   -1.7   -5.3    1.71
  3.04    GO_crouch    250     0.1297    27.98     bl1_hip_roll   -0.6   -3.9    1.63
  3.29    GO_crouch    250     0.0996    23.55     br1_hip_roll   +0.1   -2.4    1.13

  ▸ GO_crouch 結束（時間到），進入 HOLD_crouch

  3.54  HOLD_crouch    250     0.0919    22.75   br3_knee_pitch   +0.4   -1.9    0.46
  3.79  HOLD_crouch    250     0.0919    22.81   br3_knee_pitch   +0.4   -1.9    0.00
  4.04  HOLD_crouch    250     0.0908    22.57   br3_knee_pitch   +0.4   -2.0    0.03
  4.29  HOLD_crouch    250     0.0908    22.54     br1_hip_roll   +0.4   -1.9    0.00
  4.55  HOLD_crouch    250     0.0908    22.49     br1_hip_roll   +0.4   -1.9    0.00
  4.80  HOLD_crouch    250     0.0904    22.45     br1_hip_roll   +0.4   -1.9    0.12

  ▸ HOLD_crouch 結束（時間到），進入 GO_stand

  5.05     GO_stand    250     0.0929    22.98   br3_knee_pitch   +0.5   -1.9    0.03
  5.31     GO_stand    250     0.1125    24.26   br3_knee_pitch   +0.5   -1.8    0.66
  5.56     GO_stand    250     0.1212    24.51   br3_knee_pitch   +0.5   -1.8    0.40
  5.81     GO_stand    250     0.1150    21.63   fl3_knee_pitch   +0.5   -1.8    0.59
  6.06     GO_stand    250     0.1006    19.89   br3_knee_pitch   +0.6   -1.8    0.04
  6.32     GO_stand    250     0.0829    17.80   br3_knee_pitch   +0.7   -1.8    0.11

  ▸ GO_stand 結束（時間到），進入 READY

  6.57        READY    250     0.0686    16.92   br3_knee_pitch   +0.7   -1.8    0.06
  6.83        READY    250     0.0686    16.94   br3_knee_pitch   +0.7   -1.8    0.01
  7.08        READY    250     0.0686    16.98   br3_knee_pitch   +0.7   -1.8    0.00
  7.33        READY    250     0.0686    16.98   br3_knee_pitch   +0.7   -1.8    0.00
  7.58        READY    250     0.0686    16.92   br3_knee_pitch   +0.7   -1.8    0.00
  7.83        READY    250     0.0686    16.98   br3_knee_pitch   +0.7   -1.8    0.00
  8.09        READY    250     0.0686    16.93   br3_knee_pitch   +0.7   -1.8    0.00
  8.34        READY    250     0.0686    16.97   br3_knee_pitch   +0.7   -1.8    0.00
  8.60        READY    250     0.0686    16.96   br3_knee_pitch   +0.7   -1.8    0.03
  8.85        READY    250     0.0686    16.94   br3_knee_pitch   +0.7   -1.8    0.00
  9.11        READY    250     0.0686    16.95   br3_knee_pitch   +0.7   -1.8    0.01
  9.36        READY    250     0.0686    19.30   fl3_knee_pitch   +0.7   -1.8    0.03
  9.61        READY    250     0.0652    16.13   br3_knee_pitch   +0.8   -1.8    0.00
  9.86        READY    250     0.0652    16.09   br3_knee_pitch   +0.8   -1.8    0.01
 10.11        READY    250     0.0648    15.98   br3_knee_pitch   +0.8   -1.8    0.02
 10.36        READY    250     0.0648    16.05   br3_knee_pitch   +0.7   -1.8    0.00
 10.61        READY    250     0.0648    16.10   br3_knee_pitch   +0.7   -1.8    0.00
 10.87        READY    250     0.0648    16.07   br3_knee_pitch   +0.7   -1.8    0.00
 11.12        READY    250     0.0648    16.08   br3_knee_pitch   +0.7   -1.8    0.01
 11.37        READY    250     0.0648    16.07   br3_knee_pitch   +0.7   -1.8    0.00
 11.62        READY    250     0.0648    16.02   br3_knee_pitch   +0.7   -1.8    0.00
 11.88        READY    250     0.0648    16.01   br3_knee_pitch   +0.7   -1.8    0.01

  ▸ READY 結束（按下 Enter），進入 KP_DOWN

 12.13      KP_DOWN    250     0.0648    16.07   br3_knee_pitch   +0.7   -1.8    0.00
 12.38      KP_DOWN    250     0.0648    16.12   br3_knee_pitch   +0.7   -1.8    0.00
 12.64      KP_DOWN    250     0.0648    16.01   br3_knee_pitch   +0.7   -1.8    0.01
 12.89      KP_DOWN    250     0.0648    16.07   br3_knee_pitch   +0.7   -1.8    0.03
 13.14      KP_DOWN    250     0.0648    16.01   br3_knee_pitch   +0.7   -1.8    0.00
 13.39      KP_DOWN    250     0.0644    15.96   br3_knee_pitch   +0.7   -1.8    0.00

  ▸ KP_DOWN 結束（時間到），進入 GAIT_IN

 13.65      GAIT_IN    250     0.0640    15.81   fl3_knee_pitch   +0.6   -1.8    0.00
 13.90      GAIT_IN    250     0.0635    15.68   br3_knee_pitch   +0.6   -1.7    0.00
 14.15      GAIT_IN    250     0.0651    16.16   fl3_knee_pitch   +0.4   -1.8    0.32
 14.40      GAIT_IN    250     0.0722    18.42   br3_knee_pitch   +0.7   -1.9    1.02
 14.66      GAIT_IN    250     0.1264    29.94   fl3_knee_pitch   -0.5   -1.2    2.53
 14.91      GAIT_IN    250     0.0866    20.50   br3_knee_pitch   +1.5   -1.2    0.64
 15.16      GAIT_IN    250     0.1875    36.60   bl3_knee_pitch   -2.6   -4.0    4.02
 15.41      GAIT_IN    250     0.0906    17.66    br2_hip_pitch   +0.9   -1.7    4.45
 15.67      GAIT_IN    250     0.1558    29.15    fr2_hip_pitch   +4.0   +1.7    2.12
 15.92      GAIT_IN    250     0.1769    40.96   bl3_knee_pitch   -0.9   -1.7    2.24
 16.17      GAIT_IN    250     0.2017    27.12    br2_hip_pitch   +3.7   -2.0    1.84
 16.42      GAIT_IN    250     0.2202    22.06    fr2_hip_pitch   +2.7   +1.1    2.70

  ▸ GAIT_IN 結束（時間到），進入 GAIT

 16.67         GAIT    250     0.2196    34.26   fl3_knee_pitch   +1.3   +0.8    3.38
 16.92         GAIT    250     0.1785    37.02   br3_knee_pitch   +4.8   -2.1    3.64
 17.18         GAIT    250     0.1364    26.02   fr3_knee_pitch   +1.5   +0.2    1.59
 17.43         GAIT    250     0.0921    20.63   fr3_knee_pitch   -0.8   +2.7    3.34
 17.69         GAIT    250     0.1410    24.70    br2_hip_pitch   +3.4   -1.0    1.01
 17.94         GAIT    250     0.2291    34.84    bl2_hip_pitch   -0.3   -1.0    1.54
 18.19         GAIT    250     0.2434    32.18    fl2_hip_pitch   -1.4   +2.8    2.04
 18.44         GAIT    250     0.1233    19.31    br2_hip_pitch   +2.2   +0.0    2.42
 18.70         GAIT    250     0.1783    26.99   br3_knee_pitch   -2.2   -1.4    2.87
 18.95         GAIT    250     0.1765    39.27   fl3_knee_pitch   +1.7   +0.3    4.96

  ▸ GAIT 結束（按下 Enter），進入 GAIT_OUT

 19.20     GAIT_OUT    250     0.1498    20.94   fl3_knee_pitch   +3.1   +0.7    1.23
 19.46     GAIT_OUT    250     0.2067    27.27    bl2_hip_pitch   -1.3   -2.9    2.69
 19.71     GAIT_OUT    250     0.1597    24.48    br2_hip_pitch   +3.1   -1.0    1.59
 19.96     GAIT_OUT    250     0.1878    32.20    fr2_hip_pitch   +3.1   +0.9    2.84
 20.22     GAIT_OUT    250     0.1383    28.12   bl3_knee_pitch   +0.2   -0.7    2.84
 20.47     GAIT_OUT    250     0.1054    20.88   bl3_knee_pitch   +4.1   -2.4    1.86
 20.72     GAIT_OUT    250     0.1585    32.64   fr3_knee_pitch   +2.6   +0.9    5.33
 20.97     GAIT_OUT    250     0.1280    16.82   bl3_knee_pitch   +0.0   +0.2    1.81
 21.23     GAIT_OUT    250     0.0979    22.78   br3_knee_pitch   +3.6   -1.3    1.40
 21.48     GAIT_OUT    250     0.1020    17.95   fr3_knee_pitch   +1.7   -0.6    1.00
 21.73     GAIT_OUT    250     0.0767    19.16   bl3_knee_pitch   +0.2   -0.6    0.09
 21.99     GAIT_OUT    250     0.0750    16.09   bl3_knee_pitch   +0.9   -0.6    0.03

  ▸ GAIT_OUT 結束（時間到），進入 KP_UP

 22.24        KP_UP    250     0.0746    16.13   bl3_knee_pitch   +0.8   -0.6    0.00
 22.50        KP_UP    250     0.0738    16.06   bl3_knee_pitch   +0.7   -0.6    0.04
 22.75        KP_UP    250     0.0734    16.10   bl3_knee_pitch   +0.6   -0.6    0.00
 23.00        KP_UP    250     0.0727    16.09   bl3_knee_pitch   +0.6   -0.6    0.01
 23.26        KP_UP    250     0.0711    15.93   bl3_knee_pitch   +0.6   -0.6    0.07
 23.51        KP_UP    250     0.0692    16.64     br1_hip_roll   +0.6   -0.6    0.04

  ▸ KP_UP 結束（時間到），進入 STOPPED

 23.76      STOPPED    250     0.0689    17.29     br1_hip_roll   +0.5   -0.6    0.00
 24.01      STOPPED    250     0.0689    17.37     br1_hip_roll   +0.5   -0.6    0.00
 24.26      STOPPED    250     0.0689    17.23     br1_hip_roll   +0.4   -0.6    0.00
 24.52      STOPPED    250     0.0689    17.28     br1_hip_roll   +0.4   -0.6    0.00
 24.77      STOPPED    250     0.0689    17.34     br1_hip_roll   +0.4   -0.6    0.00
 25.02      STOPPED    250     0.0689    17.35     br1_hip_roll   +0.4   -0.6    0.00
