M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2434 狀態=S
✅ 機身姿態 roll -6.3° pitch +1.1°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

RL policy：cpg_rl_max_v2_3_np.npz　preset v2.3　obs 66 act 10　sha 5a9de707c38b
  指令 vx 0.3 wz 0　混合比例 1　起步淡入 50 步
✅ 基準步態與 policy 訓練基準一致（說兩次）
✅ 推論 0.18 ms/步（預算 10 ms）

互動模式　最壞情況 110.0 秒：
  站起來 6.5 ＋ 等①15 ＋ 降增益 1.5 ＋ 淡入 2.0 ＋ 走 60 ＋ 淡出 2.0 ＋ 升增益 1.5 ＋ 等③15 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 120 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 18.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 18.0 rad/s、傾角 ±20°、迴圈間隔 250 ms
🎮 遙控：READY 按 Enter → 站好等鍵；**按住 W 走、放開站好、空白鍵急停**；站好時 Enter 收工

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
  0.00      RAMP_UP      0     0.0000     0.06   fr3_knee_pitch   -6.3   +1.1    0.00
  0.25      RAMP_UP     31     0.0000     0.08    br2_hip_pitch   -6.3   +1.1    0.00
  0.51      RAMP_UP     63     0.0000     0.10    fr2_hip_pitch   -6.3   +1.1    0.00
  0.76      RAMP_UP     94     0.0000     0.14     br1_hip_roll   -6.3   +1.1    0.00
  1.01      RAMP_UP    126     0.0000     0.13     bl1_hip_roll   -6.3   +1.1    0.00
  1.26      RAMP_UP    158     0.0000     0.11    fr2_hip_pitch   -6.3   +1.1    0.00
  1.51      RAMP_UP    189     0.0034     0.63     fl1_hip_roll   -6.2   +1.0    0.00
  1.77      RAMP_UP    221     0.0031     0.75     fl1_hip_roll   -6.2   +1.1    0.00

  ▸ RAMP_UP 結束（時間到），進入 GO_crouch

  2.02    GO_crouch    250     0.0029     0.83     fl1_hip_roll   -6.2   +1.1    0.00
  2.27    GO_crouch    250     0.0371     8.15     fl1_hip_roll   -6.1   +1.0    0.18
  2.52    GO_crouch    250     0.0991    23.59   br3_knee_pitch   -5.2   +0.5    0.71
  2.77    GO_crouch    250     0.1155    25.83     fr1_hip_roll   -2.9   -0.1    1.48
  3.02    GO_crouch    250     0.1133    25.47   bl3_knee_pitch   -1.4   -0.6    1.35
  3.27    GO_crouch    250     0.0997    23.54   fr3_knee_pitch   -0.0   -1.1    1.15

  ▸ GO_crouch 結束（時間到），進入 HOLD_crouch

  3.52  HOLD_crouch    250     0.0950    23.75   fr3_knee_pitch   +0.9   -1.3    0.16
  3.78  HOLD_crouch    250     0.0919    23.03   fr3_knee_pitch   +0.9   -1.3    0.03
  4.03  HOLD_crouch    250     0.0911    22.92   fr3_knee_pitch   +0.9   -1.3    0.03
  4.28  HOLD_crouch    250     0.0911    22.84   fr3_knee_pitch   +0.9   -1.3    0.00
  4.53  HOLD_crouch    250     0.0911    22.89   fr3_knee_pitch   +0.9   -1.3    0.00
  4.78  HOLD_crouch    250     0.0911    22.89   fr3_knee_pitch   +0.9   -1.3    0.00

  ▸ HOLD_crouch 結束（時間到），進入 GO_stand

