M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=1

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2425 狀態=T
✅ 機身姿態 roll +2.2° pitch -2.5°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 26.0 秒　17 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → KPRAMP_250(1.0) → SAG_kp250(2.0) → KPRAMP_180(1.0) → SAG_kp180(2.0) → KPRAMP_120(1.0) → SAG_kp120(2.0) → KPRAMP_back(1.0) → HOLD_stand2(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 26.0s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.590 rad        0.62 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.590 rad        0.62 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +2.2 pitch -2.5）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
  0.00        RAMP_UP      0     0.0000     0.05     fl1_hip_roll   +2.2   -2.5
  0.25        RAMP_UP     31     0.0000     0.08    br2_hip_pitch   +2.2   -2.5
  0.50        RAMP_UP     63     0.0000     0.10     br1_hip_roll   +2.2   -2.5
  0.76        RAMP_UP     94     0.0004     0.12     bl1_hip_roll   +2.3   -2.6
  1.01        RAMP_UP    126     0.0004     0.11     bl1_hip_roll   +2.3   -2.6
  1.27        RAMP_UP    158     0.0004     0.14     fl1_hip_roll   +2.3   -2.6
  1.52        RAMP_UP    189     0.0004     0.17     fl1_hip_roll   +2.3   -2.6
  1.77        RAMP_UP    221     0.0004     0.17     fl1_hip_roll   +2.3   -2.6
  2.02      GO_crouch    250     0.0005     0.30     fl1_hip_roll   +2.3   -2.5
  2.28      GO_crouch    250     0.0377     8.51    br2_hip_pitch   +2.3   -2.6
  2.53      GO_crouch    250     0.0591    14.71   bl3_knee_pitch   +1.9   -2.4
  2.78      GO_crouch    250     0.1072    26.25   bl3_knee_pitch   +1.6   -2.3
  3.03      GO_crouch    250     0.1081    26.18   br3_knee_pitch   +1.5   -1.6
  3.29      GO_crouch    250     0.0973    24.06   fr3_knee_pitch   +1.0   -1.3
  3.54    HOLD_crouch    250     0.0911    22.51   br3_knee_pitch   +0.8   -1.3
  3.79    HOLD_crouch    250     0.0881    21.85   fl3_knee_pitch   +0.8   -1.2
  4.04    HOLD_crouch    250     0.0881    21.87   fl3_knee_pitch   +0.7   -1.2
  4.29    HOLD_crouch    250     0.0881    21.85   fl3_knee_pitch   +0.7   -1.2
  4.55    HOLD_crouch    250     0.0881    21.84   fl3_knee_pitch   +0.7   -1.2
  4.80    HOLD_crouch    250     0.0881    21.81   fl3_knee_pitch   +0.7   -1.2
  5.05       GO_stand    250     0.0914    22.51   fl3_knee_pitch   +0.7   -1.2
  5.31       GO_stand    250     0.1146    24.12   br3_knee_pitch   +0.8   -1.2
  5.56       GO_stand    250     0.1212    22.96   br3_knee_pitch   +0.6   -1.2
  5.81       GO_stand    250     0.1137    20.00   fl3_knee_pitch   +0.6   -1.1
  6.07       GO_stand    250     0.0946    16.99   fr3_knee_pitch   +0.7   -1.2
  6.32       GO_stand    250     0.0718    14.48   fr3_knee_pitch   +0.7   -1.2
  6.57     HOLD_stand    250     0.0540    13.66   fr3_knee_pitch   +0.7   -1.2
  6.82     HOLD_stand    250     0.0540    13.58   fr3_knee_pitch   +0.7   -1.2
  7.07     HOLD_stand    250     0.0540    13.69   fr3_knee_pitch   +0.7   -1.2
  7.33     HOLD_stand    250     0.0540    13.64   fr3_knee_pitch   +0.7   -1.2
  7.58     HOLD_stand    250     0.0540    13.60   fr3_knee_pitch   +0.7   -1.2
  7.83     HOLD_stand    250     0.0540    13.57   fr3_knee_pitch   +0.7   -1.2
  8.09     HOLD_stand    250     0.0540    13.57   fr3_knee_pitch   +0.7   -1.2
  8.34     HOLD_stand    250     0.0540    13.65   fr3_knee_pitch   +0.7   -1.2
  8.60     KPRAMP_250    250     0.0540    13.62   fr3_knee_pitch   +0.7   -1.2
