M8 —— 靜態撓度量測與單腿擺動（★★ 承重）　stage=2

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、地面淨空、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2425 狀態=T
✅ 機身姿態 roll +2.3° pitch -2.5°

站姿足端基準（輪軸心相對 ABAD 原點，m）　膝分支 {'fl': -1, 'fr': -1, 'bl': 1, 'br': 1}
  fl: x+0.0700 y+0.1060 z-0.4457
  fr: x+0.0700 y-0.1060 z-0.4457
  bl: x-0.0700 y+0.1060 z-0.4457
  br: x-0.0700 y-0.1060 z-0.4457
✅ 前後膝反號（後腿往前彎，原廠預設）

總時長 34.6 秒　25 段
  RAMP_UP(2.0) → GO_crouch(1.5) → HOLD_crouch(1.5) → GO_stand(1.5) → HOLD_stand(2.0) → GO_SHIFT_L(1.2) → HOLD_SHIFT_L(1.5) → BACK_SHIFT_L(1.2) → SETTLE_SHIFT_L(1.0) → GO_SHIFT_R(1.2) → HOLD_SHIFT_R(1.5) → BACK_SHIFT_R(1.2) → SETTLE_SHIFT_R(1.0) → GO_SHIFT_F(1.2) → HOLD_SHIFT_F(1.5) → BACK_SHIFT_F(1.2) → SETTLE_SHIFT_F(1.0) → GO_SHIFT_B(1.2) → HOLD_SHIFT_B(1.5) → BACK_SHIFT_B(1.2) → SETTLE_SHIFT_B(1.0) → BACK_crouch(1.5) → HOLDB_crouch(1.5) → BACK_LIE(1.5) → RAMP_DOWN(2.0)
✅ 凍結時間 34.6s 在上限 38s 之內

            區段         最大位移         峰值命令速度             哪個關節
     GO_crouch    0.588 rad        0.62 rad/s    fl2_hip_pitch
      GO_stand    1.200 rad        1.26 rad/s   fl3_knee_pitch
    GO_SHIFT_L    0.090 rad        0.12 rad/s     fl1_hip_roll
  BACK_SHIFT_L    0.090 rad        0.12 rad/s     fl1_hip_roll
    GO_SHIFT_R    0.090 rad        0.12 rad/s     fr1_hip_roll
  BACK_SHIFT_R    0.090 rad        0.12 rad/s     fr1_hip_roll
    GO_SHIFT_F    0.099 rad        0.13 rad/s    bl2_hip_pitch
  BACK_SHIFT_F    0.099 rad        0.13 rad/s    bl2_hip_pitch
    GO_SHIFT_B    0.099 rad        0.13 rad/s    fl2_hip_pitch
  BACK_SHIFT_B    0.099 rad        0.13 rad/s    fl2_hip_pitch
   BACK_crouch    1.200 rad        1.26 rad/s   fl3_knee_pitch
      BACK_LIE    0.588 rad        0.62 rad/s    fl2_hip_pitch
✅ 所有區段的命令速度都在 2.0 rad/s 以內
✅ 所有路徑點都在機構限位內

力矩門檻：ABAD 50 / HIP 50 / KNEE 70 N·m，硬上限 120
傾角保護 ±15°（現在 roll +2.3 pitch -2.5）
輪子：移動中純阻尼 kd=0.5；HOLD 段鎖定 kp=20.0

✅ 已凍結 mc_ctrl（T）

     t             階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch
  0.00        RAMP_UP      0     0.0004     0.07    fl2_hip_pitch   +2.3   -2.5
  0.25        RAMP_UP     31     0.0004     0.07    fl2_hip_pitch   +2.3   -2.5
  0.51        RAMP_UP     63     0.0004     0.09     fl1_hip_roll   +2.3   -2.5
  0.76        RAMP_UP     94     0.0004     0.12    bl2_hip_pitch   +2.3   -2.5
  1.01        RAMP_UP    126     0.0004     0.11     fl1_hip_roll   +2.3   -2.5
  1.27        RAMP_UP    158     0.0004     0.09    br2_hip_pitch   +2.3   -2.5
  1.52        RAMP_UP    190     0.0004     0.13     br1_hip_roll   +2.3   -2.5
  1.77        RAMP_UP    221     0.0004     0.17     br1_hip_roll   +2.2   -2.5
  2.02      GO_crouch    250     0.0003     0.18     fr1_hip_roll   +2.2   -2.5
  2.28      GO_crouch    250     0.0372     8.30    br2_hip_pitch   +2.2   -2.5
  2.53      GO_crouch    250     0.0582    14.79   bl3_knee_pitch   +2.0   -2.4
  2.78      GO_crouch    250     0.1037    25.49   bl3_knee_pitch   +1.6   -2.3
  3.03      GO_crouch    250     0.1055    25.60   bl3_knee_pitch   +1.3   -1.6
  3.29      GO_crouch    250     0.0965    23.87   fl3_knee_pitch   +1.1   -1.3
  3.54    HOLD_crouch    250     0.0923    23.01   bl3_knee_pitch   +0.8   -1.3
  3.79    HOLD_crouch    250     0.0919    23.10   bl3_knee_pitch   +0.8   -1.3
  4.04    HOLD_crouch    250     0.0919    23.05   bl3_knee_pitch   +0.8   -1.3
  4.30    HOLD_crouch    250     0.0919    23.15   bl3_knee_pitch   +0.8   -1.3
  4.55    HOLD_crouch    250     0.0919    23.08   bl3_knee_pitch   +0.8   -1.3
  4.80    HOLD_crouch    250     0.0919    23.00   bl3_knee_pitch   +0.8   -1.3
  5.05       GO_stand    250     0.0952    23.74   bl3_knee_pitch   +0.7   -1.3
  5.31       GO_stand    250     0.1130    23.56   fr3_knee_pitch   +0.8   -1.2
  5.56       GO_stand    250     0.1199    22.75   br3_knee_pitch   +0.6   -1.2
  5.81       GO_stand    250     0.1129    19.87   bl3_knee_pitch   +0.6   -1.2
  6.06       GO_stand    250     0.0953    17.01   fr3_knee_pitch   +0.7   -1.2
  6.31       GO_stand    250     0.0719    14.33   fr3_knee_pitch   +0.7   -1.2
  6.57     HOLD_stand    250     0.0552    13.89   fr3_knee_pitch   +0.8   -1.2
  6.82     HOLD_stand    250     0.0552    13.89   fr3_knee_pitch   +0.8   -1.2
  7.07     HOLD_stand    250     0.0552    13.87   fr3_knee_pitch   +0.8   -1.2
  7.33     HOLD_stand    250     0.0552    13.77   fr3_knee_pitch   +0.8   -1.2
  7.58     HOLD_stand    250     0.0552    13.93   fr3_knee_pitch   +0.8   -1.2
  7.83     HOLD_stand    250     0.0552    13.86   fr3_knee_pitch   +0.8   -1.2
  8.09     HOLD_stand    250     0.0552    13.91   fr3_knee_pitch   +0.8   -1.2
