== ref {}  wheel_pos False  obs 76 act 12
PASS WHEEL vx0.5        vx +0.49 vy -0.001 yaw -0±0°/s | roll 0.1/0.1 pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [5.21 5.21 5.21 5.21] act [5.13 5.13 5.13 5.13] | tau_pk 17 err 0.07 knee_v 0.4 | s4 0.00 arc 0.00 R +7.73 | done@None (16s)
PASS ARC vx0.5 wz0.5    vx +0.47 vy -0.030 yaw +25±39°/s | roll 0.5/2.5 pitch 0.7 h 0.533 | lift [21. 33. 21. 15.] clr_step 5 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.84 5.04 5.29 3.34] | tau_pk 65 err 0.26 knee_v 5.8 | s4 0.00 arc 0.38 R +3.61 | done@None (2s)
PASS TURN wz1.3         vx -0.01 vy -0.069 yaw +28±55°/s | roll 0.9/2.0 pitch 0.5 h 0.527 | lift [63. 48. 37. 74.] clr_step 24 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 3.79  1.23 -1.29 -3.92] | tau_pk 74 err 0.44 knee_v 6.5 | s4 1.00 arc 0.00 R +2.48 | done@None (1s)
FAIL LAT vy0.08         vx +0.06 vy +0.088 yaw -3±11°/s | roll 2.8/5.7 pitch 2.2 h 0.534 | lift [39. 17. 46. 21.] clr_step 12 | 輪 cmd [ 0.    4.4   0.   -2.95] act [ 1.22  3.67 -0.74 -2.47] | tau_pk 82 err 0.25 knee_v 7.2 | s4 1.00 arc 0.00 R +1.10 | done@None (2s)
PASS DIAG vx0.3 vy0.06  vx +0.33 vy +0.070 yaw -3±13°/s | roll 2.6/5.6 pitch 1.9 h 0.534 | lift [37. 14. 45. 16.] clr_step 12 | 輪 cmd [3.13 6.42 3.13 0.91] act [4.31 5.84 2.37 1.23] | tau_pk 74 err 0.24 knee_v 7.3 | s4 0.75 arc 0.00 R +2.12 | done@None (2s)
PASS STAND              vx -0.00 vy -0.001 yaw -0±0°/s | roll 0.1/0.1 pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [0. 0. 0. 0.] act [-0.   -0.01 -0.01 -0.01] | tau_pk 17 err 0.06 knee_v 0.4 | s4 0.00 arc 0.00 R +7.74 | done@None (2s)
FAIL LAT vy0.04         vx +0.04 vy +0.032 yaw -1±19°/s | roll 2.3/5.4 pitch 1.6 h 0.534 | lift [34. 18. 39. 19.] clr_step 11 | 輪 cmd [ 0.    2.2   0.   -1.47] act [ 1.22  1.94 -0.87 -1.35] | tau_pk 68 err 0.25 knee_v 6.8 | s4 0.50 arc 0.00 R +2.04 | done@None (2s)
FAIL LAT vy0.06         vx +0.04 vy +0.068 yaw -3±13°/s | roll 2.6/5.6 pitch 1.9 h 0.534 | lift [37. 14. 44. 16.] clr_step 12 | 輪 cmd [ 0.    3.3   0.   -2.21] act [ 1.23  2.76 -0.77 -1.9 ] | tau_pk 75 err 0.24 knee_v 7.2 | s4 0.75 arc 0.00 R +2.07 | done@None (2s)
10s FAIL LAT vy0.08         vx +0.05 vy +0.080 yaw -3±12°/s | roll 2.9/7.1 pitch 2.2 h 0.534 | lift [42. 21. 48. 31.] clr_step 12 | 輪 cmd [ 0.    4.4   0.   -2.95] act [ 1.02  3.72 -0.83 -2.47] | tau_pk 82 err 0.25 knee_v 7.3 | s4 1.00 arc 0.00 R +0.69 | done@None (20s)
10s FAIL LAT vy0.04         vx +0.04 vy +0.029 yaw -0±18°/s | roll 2.5/6.0 pitch 1.6 h 0.535 | lift [40. 20. 43. 25.] clr_step 12 | 輪 cmd [ 0.    2.2   0.   -1.47] act [ 1.01  2.04 -0.94 -1.37] | tau_pk 71 err 0.26 knee_v 6.9 | s4 0.50 arc 0.00 R +1.85 | done@None (6s)
10s FAIL LAT vy0.06         vx +0.04 vy +0.059 yaw -2±13°/s | roll 2.8/6.9 pitch 1.9 h 0.534 | lift [41. 16. 47. 21.] clr_step 12 | 輪 cmd [ 0.    3.3   0.   -2.21] act [ 1.03  2.82 -0.86 -1.88] | tau_pk 75 err 0.24 knee_v 7.2 | s4 0.75 arc 0.00 R +1.48 | done@None (6s)
