PASS WHEEL vx0.5        vx +0.49 vy -0.001 yaw -0±0°/s | roll 0.1/0.1 pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [5.21 5.21 5.21 5.21] act [5.13 5.13 5.13 5.13] | tau_pk 17 err 0.07 knee_v 0.4 | s4 0.00 arc 0.00 R +7.73 | done@None (17s)
FAIL ARC vx0.5 wz0.5    vx +0.49 vy -0.011 yaw +15±35°/s | roll 0.3/1.3 pitch 0.5 h 0.536 | lift [14. 19. 12. 14.] clr_step 2 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.79 5.01 5.31 3.41] | tau_pk 60 err 0.25 knee_v 4.2 | s4 0.00 arc 0.38 R +3.97 | done@None (2s)
FAIL TURN wz1.3         vx +0.02 vy +0.026 yaw +35±51°/s | roll 1.6/3.4 pitch 1.1 h 0.528 | lift [89. 47. 58. 84.] clr_step 27 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 4.48  1.28 -1.31 -4.36] | tau_pk 90 err 0.40 knee_v 7.2 | s4 1.00 arc 0.00 R -0.59 | done@None (2s)
FAIL LAT vy0.08         vx +0.08 vy +0.057 yaw +2±12°/s | roll 7.2/10.5 pitch 2.1 h 0.526 | lift [55. -3. 52.  0.] clr_step 14 | 輪 cmd [ 0.    4.4   0.   -2.95] act [ 0.37  1.84 -0.19 -1.22] | tau_pk 78 err 0.35 knee_v 6.2 | s4 1.00 arc 0.00 R -1.97 | done@None (2s)
PASS DIAG vx0.3 vy0.06  vx +0.36 vy +0.033 yaw +0±10°/s | roll 5.2/8.8 pitch 1.8 h 0.529 | lift [39. -1. 34. -1.] clr_step 9 | 輪 cmd [3.13 6.42 3.13 0.91] act [3.6  4.2  2.7  2.49] | tau_pk 74 err 0.31 knee_v 5.1 | s4 0.75 arc 0.00 R +0.85 | done@None (2s)
PASS STAND              vx -0.00 vy -0.001 yaw -0±0°/s | roll 0.1/0.1 pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [0. 0. 0. 0.] act [-0.   -0.01 -0.01 -0.01] | tau_pk 17 err 0.06 knee_v 0.4 | s4 0.00 arc 0.00 R +7.74 | done@None (2s)
FAIL LAT vy0.04         vx +0.06 vy -0.015 yaw -1±17°/s | roll 3.1/6.8 pitch 1.5 h 0.534 | lift [23. -0. 19.  1.] clr_step 5 | 輪 cmd [ 0.    2.2   0.   -1.47] act [ 0.64  1.09 -0.61 -0.9 ] | tau_pk 66 err 0.30 knee_v 4.2 | s4 0.50 arc 0.00 R +1.82 | done@None (2s)
FAIL LAT vy0.06         vx +0.06 vy +0.035 yaw +0±10°/s | roll 5.4/9.1 pitch 1.8 h 0.529 | lift [40. -1. 35. -0.] clr_step 9 | 輪 cmd [ 0.    3.3   0.   -2.21] act [ 0.48  1.1  -0.36 -0.55] | tau_pk 75 err 0.31 knee_v 5.1 | s4 0.75 arc 0.00 R +0.76 | done@None (2s)
FAIL ARC vx0.5 wz0.5    vx +0.49 vy -0.010 yaw +14±35°/s | roll 0.3/1.2 pitch 0.5 h 0.537 | lift [13. 16. 11. 12.] clr_step 2 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.78 5.01 5.32 3.43] | tau_pk 58 err 0.26 knee_v 3.9 | s4 0.00 arc 0.38 R +4.02 | done@None (16s)
FAIL TURN wz1.3         vx -0.01 vy -0.011 yaw +16±55°/s | roll 2.3/5.5 pitch 1.2 h 0.530 | lift [72. 10. 71. 62.] clr_step 25 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 4.29  0.83 -0.66 -4.41] | tau_pk 79 err 0.41 knee_v 6.7 | s4 1.00 arc 0.00 R +1.81 | done@None (2s)
FAIL ARC vx0.5 wz0.5    vx +0.48 vy -0.013 yaw +14±35°/s | roll 0.3/1.2 pitch 0.5 h 0.537 | lift [14. 17. 11. 13.] clr_step 2 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.82 5.01 5.31 3.38] | tau_pk 59 err 0.27 knee_v 4.1 | s4 0.00 arc 0.38 R +4.00 | done@None (17s)
FAIL TURN wz1.3         vx -0.01 vy -0.025 yaw +27±58°/s | roll 0.5/1.6 pitch 0.4 h 0.526 | lift [72. 31. 21. 77.] clr_step 24 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 4.25  1.35 -1.4  -4.2 ] | tau_pk 82 err 0.42 knee_v 7.0 | s4 1.00 arc 0.00 R +0.26 | done@None (2s)
FAIL ARC vx0.5 wz0.5    vx +0.48 vy -0.014 yaw +15±35°/s | roll 0.3/1.2 pitch 0.5 h 0.537 | lift [16. 19. 13. 14.] clr_step 2 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.85 5.02 5.3  3.36] | tau_pk 61 err 0.26 knee_v 4.4 | s4 0.00 arc 0.38 R +4.00 | done@None (16s)
