== ref {}  wheel_pos False  obs 76 act 12
PASS WHEEL vx0.5        vx +0.49 vy -0.001 yaw -0±0°/s | roll 0.1/0.1(std 0.0) pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [5.21 5.21 5.21 5.21] act [5.13 5.13 5.13 5.13] | tau_pk 17 err 0.07 knee_v 0.4 | s4 0.00 arc 0.00 R +7.73 | done@None (16s)
PASS ARC vx0.5 wz0.5    vx +0.47 vy -0.030 yaw +25±39°/s | roll 0.5/2.5(std 0.6) pitch 0.7 h 0.533 | lift [21. 33. 21. 15.] clr_step 5 | 輪 cmd [6.18 4.23 6.18 4.23] act [6.84 5.04 5.29 3.34] | tau_pk 65 err 0.26 knee_v 5.8 | s4 0.00 arc 0.38 R +3.61 | done@None (2s)
PASS TURN wz1.3         vx -0.01 vy -0.069 yaw +28±55°/s | roll 0.9/2.0(std 0.5) pitch 0.5 h 0.527 | lift [63. 48. 37. 74.] clr_step 24 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 3.79  1.23 -1.29 -3.92] | tau_pk 74 err 0.44 knee_v 6.5 | s4 1.00 arc 0.00 R +2.48 | done@None (2s)
FAIL LAT vy0.08         vx +0.02 vy +0.046 yaw -2±9°/s | roll 0.9/1.2(std 0.1) pitch 0.7 h 0.537 | lift [0. 0. 1. 1.] clr_step -0 | 輪 cmd [ 0.22  4.57 -0.06 -3.1 ] act [ 0.24  2.27  0.22 -1.25] | tau_pk 40 err 0.50 knee_v 1.0 | s4 1.00 arc 0.00 R +5.27 | done@None (2s)
PASS DIAG vx0.3 vy0.06  vx +0.31 vy +0.036 yaw -2±10°/s | roll 0.5/0.7(std 0.1) pitch 0.6 h 0.537 | lift [0. 0. 1. 1.] clr_step -0 | 輪 cmd [3.34 6.59 3.07 0.77] act [3.28 4.82 3.34 2.05] | tau_pk 36 err 0.48 knee_v 0.8 | s4 0.75 arc 0.00 R +5.50 | done@None (2s)
PASS STAND              vx -0.00 vy -0.001 yaw -0±0°/s | roll 0.1/0.1(std 0.0) pitch 0.2 h 0.523 | lift [-1. -0. -1. -0.] clr_step 0 | 輪 cmd [0. 0. 0. 0.] act [-0.   -0.01 -0.01 -0.01] | tau_pk 17 err 0.06 knee_v 0.4 | s4 0.00 arc 0.00 R +7.74 | done@None (2s)
PASS LAT vy0.04         vx +0.00 vy +0.027 yaw -1±14°/s | roll 0.1/0.3(std 0.1) pitch 0.5 h 0.536 | lift [0. 2. 1. 2.] clr_step -0 | 輪 cmd [ 0.2   2.35 -0.05 -1.62] act [ 0.09  1.3   0.14 -0.79] | tau_pk 36 err 0.47 knee_v 0.9 | s4 0.50 arc 0.00 R +5.49 | done@None (2s)
FAIL LAT vy0.06         vx +0.01 vy +0.035 yaw -2±11°/s | roll 0.4/0.6(std 0.1) pitch 0.6 h 0.537 | lift [0. 0. 1. 1.] clr_step -0 | 輪 cmd [ 0.21  3.46 -0.05 -2.36] act [ 0.17  1.8   0.19 -1.06] | tau_pk 36 err 0.48 knee_v 0.9 | s4 0.75 arc 0.00 R +5.45 | done@None (2s)
10s FAIL TURN wz1.3         vx -0.01 vy +0.049 yaw +14±50°/s | roll 4.7/8.6(std 1.6) pitch 2.0 h 0.532 | lift [110.   4.  80.  56.] clr_step 30 | 輪 cmd [ 5.08  0.    0.   -5.08] act [ 4.45  1.07 -0.57 -5.1 ] | tau_pk 74 err 0.49 knee_v 6.9 | s4 1.00 arc 0.00 R -0.07 | done@None (20s)
10s PASS LAT vy0.08         vx +0.03 vy +0.062 yaw -3±6°/s | roll 1.3/1.9(std 0.3) pitch 0.9 h 0.541 | lift [0. 2. 2. 1.] clr_step -0 | 輪 cmd [ 0.18  4.53 -0.08 -3.12] act [ 0.32  2.27  0.17 -1.25] | tau_pk 40 err 0.51 knee_v 1.1 | s4 1.00 arc 0.00 R +4.52 | done@None (6s)
10s PASS DIAG vx0.3 vy0.06  vx +0.33 vy +0.049 yaw -3±9°/s | roll 0.7/1.4(std 0.2) pitch 0.8 h 0.540 | lift [0. 3. 1. 2.] clr_step -0 | 輪 cmd [3.3  6.55 3.05 0.74] act [3.38 4.86 3.31 2.03] | tau_pk 36 err 0.50 knee_v 1.2 | s4 0.75 arc 0.00 R +4.81 | done@None (6s)
10s PASS LAT vy0.04         vx +0.02 vy +0.036 yaw -2±12°/s | roll 0.2/1.0(std 0.2) pitch 0.8 h 0.539 | lift [0. 3. 1. 2.] clr_step -0 | 輪 cmd [ 0.17  2.32 -0.08 -1.64] act [ 0.18  1.31  0.17 -0.83] | tau_pk 37 err 0.50 knee_v 1.3 | s4 0.50 arc 0.00 R +5.09 | done@None (5s)
